SeqName	EPI_ISL	IsolateName	CollectionDate	Country	State	Place	decDate
USA|MN-CDC-STM-000011936|EPI_ISL_1133823|B.1.1.519|2021-02-09	EPI_ISL_1133823	MN-CDC-STM-000011936	2021-02-09	North America	USA	Minnesota	2021.10684931507
USA|MA-CDC-STM-000012949|EPI_ISL_1134391|B.1.1.519|2021-02-11	EPI_ISL_1134391	MA-CDC-STM-000012949	2021-02-11	North America	USA	Massachusetts	2021.11232876712
USA|PA-CDC-STM-000012978|EPI_ISL_1134441|B.1.1.519|2021-02-11	EPI_ISL_1134441	PA-CDC-STM-000012978	2021-02-11	North America	USA	Pennsylvania	2021.11232876712
USA|TX-CDC-STM-000013092|EPI_ISL_1134490|B.1.1.519|2021-02-10	EPI_ISL_1134490	TX-CDC-STM-000013092	2021-02-10	North America	USA	Texas	2021.1095890411
USA|FL-CDC-STM-000013452|EPI_ISL_1134679|B.1.1.519|2021-02-11	EPI_ISL_1134679	FL-CDC-STM-000013452	2021-02-11	North America	USA	Florida	2021.11232876712
USA|PA-MGEL-01613|EPI_ISL_1137177|B.1.1.519|2021-02-06	EPI_ISL_1137177	PA-MGEL-01613	2021-02-06	North America	USA	Pennsylvania	2021.09863013699
Mexico|CMX-INMEGEN-02-10-02|EPI_ISL_1137463|B.1.1.519|2021-02-06	EPI_ISL_1137463	CMX-INMEGEN-02-10-02	2021-02-06	North America	Mexico	Mexico City	2021.09863013699
Mexico|CMX-INMEGEN-02-10-07|EPI_ISL_1137466|B.1.1.519|2021-02-07	EPI_ISL_1137466	CMX-INMEGEN-02-10-07	2021-02-07	North America	Mexico	Mexico City	2021.10136986301
Mexico|CMX-INMEGEN-02-10-10|EPI_ISL_1137469|B.1.1.519|2021-02-05	EPI_ISL_1137469	CMX-INMEGEN-02-10-10	2021-02-05	North America	Mexico	Mexico City	2021.09589041096
Mexico|CMX-INMEGEN-02-10-12|EPI_ISL_1137471|B.1.1.519|2021-02-08	EPI_ISL_1137471	CMX-INMEGEN-02-10-12	2021-02-08	North America	Mexico	Mexico City	2021.10410958904
Mexico|CMX-INMEGEN-02-10-15|EPI_ISL_1137473|B.1.1.519|2021-02-08	EPI_ISL_1137473	CMX-INMEGEN-02-10-15	2021-02-08	North America	Mexico	Mexico City	2021.10410958904
USA|PA-CDC-QDX22118055|EPI_ISL_1139344|B.1.1.519|2021-02-15	EPI_ISL_1139344	PA-CDC-QDX22118055	2021-02-15	North America	USA	Pennsylvania	2021.12328767123
USA|CA-CDC-QDX22120960|EPI_ISL_1139396|B.1.1.519|2021-02-10	EPI_ISL_1139396	CA-CDC-QDX22120960	2021-02-10	North America	USA	California	2021.1095890411
USA|TX-CDC-QDX22055601|EPI_ISL_1139750|B.1.1.519|2021-02-14	EPI_ISL_1139750	TX-CDC-QDX22055601	2021-02-14	North America	USA	Texas	2021.12054794521
USA|TX-CDC-QDX22056020|EPI_ISL_1139758|B.1.1.519|2021-02-14	EPI_ISL_1139758	TX-CDC-QDX22056020	2021-02-14	North America	USA	Texas	2021.12054794521
